Subnum,nowblock,nowblocktype,nowtrial,ind_up_color,test_color,testspeed,keypress,opposite_to_ind_response,RT,sospeed
1,1,1,1,0,0,-0.6,0,0,3.874,1
1,1,1,2,0,0,-0.6,0,0,1.741,1
1,1,1,3,0,0,-0.3,0,0,1.994,2
1,1,1,4,0,1,0.6,1,0,1.477,1
1,1,1,5,0,0,0.6,1,1,1.556,5
1,1,1,6,0,1,-0.3,1,0,1.304,4
1,1,1,7,0,1,0,1,0,1.343,3
1,1,1,8,0,0,0.6,1,1,1.3,5
1,1,1,9,0,1,0.3,1,0,1.643,2
1,1,1,10,0,1,0.3,1,0,1.42,2
1,1,1,11,0,0,0.3,1,1,1.582,4
1,1,1,12,0,1,0.6,1,0,1.617,1
1,1,1,13,0,0,0,1,1,1.562,3
1,1,1,14,0,1,-0.3,0,1,1.631,4
1,1,1,15,0,0,0,1,1,1.552,3
1,1,1,16,0,0,-0.3,0,0,1.493,2
1,1,1,17,0,1,-0.6,0,1,1.412,5
1,1,1,18,0,1,0.3,1,0,1.151,2
1,1,1,19,0,1,0,1,0,1.187,3
1,1,1,20,0,0,0.6,1,1,1.478,5
1,1,1,21,0,0,0,1,1,1.303,3
1,1,1,22,0,0,-0.3,1,1,1.253,2
1,1,1,23,0,1,-0.6,0,1,1.182,5
1,1,1,24,0,1,0,1,0,1.472,3
1,1,1,25,0,0,0.6,1,1,1.361,5
1,1,1,26,0,0,0.3,1,1,1.477,4
1,1,1,27,0,1,0.6,1,0,1.228,1
1,1,1,28,0,1,-0.3,1,0,1.406,4
1,1,1,29,0,1,0.6,1,0,1.241,1
1,1,1,30,0,1,-0.6,0,1,1.354,5
1,1,1,31,0,0,0.3,1,1,1.199,4
1,1,1,32,0,0,0.3,1,1,1.369,4
1,1,1,33,0,0,-0.6,0,0,1.357,1
1,1,1,34,0,1,0.3,1,0,1.537,2
1,1,1,35,0,0,0,1,1,1.359,3
1,1,1,36,0,1,-0.6,0,1,1.108,5
1,1,1,37,0,0,-0.3,1,1,1.226,2
1,1,1,38,0,1,-0.3,0,1,1.34,4
1,1,1,39,0,1,0,1,0,1.233,3
1,1,1,40,0,0,-0.6,0,0,1.466,1
1,2,2,1,1,0,-0.3,1,0,1.813,4
1,2,2,2,1,1,0.3,1,1,1.367,4
1,2,2,3,1,0,0,1,0,1.05,3
1,2,2,4,1,1,0.6,1,1,1.06,5
1,2,2,5,1,1,0.6,1,1,1.076,5
1,2,2,6,1,0,0.3,1,0,1.157,2
1,2,2,7,1,0,0,1,0,1.418,3
1,2,2,8,1,1,0.6,1,1,1.226,5
1,2,2,9,1,1,0,1,1,1.222,3
1,2,2,10,1,0,-0.6,0,1,1.104,5
1,2,2,11,1,0,0,1,0,1.206,3
1,2,2,12,1,1,0,1,1,1.216,3
1,2,2,13,1,0,-0.6,0,1,1.155,5
1,2,2,14,1,1,0.3,1,1,1.119,4
1,2,2,15,1,0,0.6,1,0,1.166,1
1,2,2,16,1,0,-0.3,0,1,1.154,4
1,2,2,17,1,1,0.3,1,1,1.223,4
1,2,2,18,1,1,-0.3,1,1,1.353,2
1,2,2,19,1,0,0.3,1,0,1.445,2
1,2,2,20,1,1,0,1,1,1.102,3
1,2,2,21,1,1,-0.3,0,0,1.444,2
1,2,2,22,1,0,0.6,1,0,1.374,1
1,2,2,23,1,1,-0.6,0,0,1.338,1
1,2,2,24,1,0,-0.6,0,1,0.991,5
1,2,2,25,1,0,-0.6,0,1,0.611,5
1,2,2,26,1,1,-0.6,0,0,0.838,1
1,2,2,27,1,1,-0.6,0,0,1.031,1
1,2,2,28,1,0,0.3,1,0,0.497,2
1,2,2,29,1,0,0.3,1,0,0.728,2
1,2,2,30,1,1,-0.6,0,0,0.678,1
1,2,2,31,1,0,0.6,1,0,0.495,1
1,2,2,32,1,1,0,1,1,0.807,3
1,2,2,33,1,0,0,1,0,0.554,3
1,2,2,34,1,0,-0.3,0,1,1.112,4
1,2,2,35,1,1,0.6,1,1,0.479,5
1,2,2,36,1,0,0.6,1,0,0.607,1
1,2,2,37,1,1,-0.3,0,0,0.73,2
1,2,2,38,1,1,-0.3,0,0,0.528,2
1,2,2,39,1,0,-0.3,0,1,0.703,4
1,2,2,40,1,1,0.3,1,1,0.438,4
1,3,2,1,1,1,-0.6,0,0,1.829,1
1,3,2,2,1,1,-0.6,0,0,0.622,1
1,3,2,3,1,0,-0.3,1,0,0.906,4
1,3,2,4,1,1,0.3,1,1,0.569,4
1,3,2,5,1,0,0.3,1,0,0.566,2
1,3,2,6,1,0,-0.6,0,1,0.633,5
1,3,2,7,1,0,0,0,1,1.347,3
1,3,2,8,1,0,0,1,0,0.481,3
1,3,2,9,1,1,0,1,1,0.56,3
1,3,2,10,1,1,-0.3,0,0,0.517,2
1,3,2,11,1,1,-0.3,0,0,0.612,2
1,3,2,12,1,1,0.3,1,1,0.479,4
1,3,2,13,1,0,-0.6,0,1,0.992,5
1,3,2,14,1,1,0.3,1,1,0.435,4
1,3,2,15,1,0,0,1,0,0.477,3
1,3,2,16,1,0,0.3,1,0,0.501,2
1,3,2,17,1,0,-0.6,0,1,0.949,5
1,3,2,18,1,1,0.6,1,1,0.426,5
1,3,2,19,1,0,-0.6,0,1,0.733,5
1,3,2,20,1,1,0.6,1,1,0.475,5
1,3,2,21,1,0,-0.3,0,1,1.451,4
1,3,2,22,1,0,-0.3,0,1,0.979,4
1,3,2,23,1,0,-0.3,0,1,0.864,4
1,3,2,24,1,0,0.6,1,0,0.513,1
1,3,2,25,1,1,-0.3,0,0,0.864,2
1,3,2,26,1,1,-0.3,0,0,1.008,2
1,3,2,27,1,1,0,1,1,0.507,3
1,3,2,28,1,1,0.3,1,1,0.475,4
1,3,2,29,1,0,0.6,1,0,0.443,1
1,3,2,30,1,1,-0.6,0,0,0.589,1
1,3,2,31,1,1,-0.6,0,0,0.553,1
1,3,2,32,1,0,0.3,1,0,0.758,2
1,3,2,33,1,0,0.3,1,0,0.626,2
1,3,2,34,1,1,0,1,1,0.614,3
1,3,2,35,1,1,0.6,1,1,0.552,5
1,3,2,36,1,1,0,1,1,0.557,3
1,3,2,37,1,1,0.6,1,1,0.523,5
1,3,2,38,1,0,0,1,0,0.649,3
1,3,2,39,1,0,0.6,1,0,0.546,1
1,3,2,40,1,0,0.6,1,0,0.464,1
1,4,2,1,1,0,0,1,0,0.694,3
1,4,2,2,1,0,-0.3,0,1,0.726,4
1,4,2,3,1,0,0.3,1,0,0.548,2
1,4,2,4,1,1,0.3,1,1,0.481,4
1,4,2,5,1,1,0.3,1,1,0.458,4
1,4,2,6,1,1,0,1,1,0.539,3
1,4,2,7,1,0,-0.6,0,1,0.593,5
1,4,2,8,1,1,0.3,1,1,0.541,4
1,4,2,9,1,1,0,1,1,0.475,3
1,4,2,10,1,1,-0.3,0,0,0.963,2
1,4,2,11,1,0,0.6,1,0,0.472,1
1,4,2,12,1,0,-0.6,0,1,0.513,5
1,4,2,13,1,0,-0.3,0,1,0.648,4
1,4,2,14,1,1,0,1,1,0.56,3
1,4,2,15,1,1,-0.6,0,0,0.51,1
1,4,2,16,1,1,-0.3,0,0,0.533,2
1,4,2,17,1,0,-0.6,0,1,0.675,5
1,4,2,18,1,1,0.6,1,1,0.387,5
1,4,2,19,1,1,0.6,1,1,0.519,5
1,4,2,20,1,1,0.6,1,1,0.606,5
1,4,2,21,1,0,0.6,1,0,0.689,1
1,4,2,22,1,0,0.3,1,0,0.721,2
1,4,2,23,1,0,-0.6,0,1,0.688,5
1,4,2,24,1,1,0.3,1,1,0.631,4
1,4,2,25,1,1,-0.6,0,0,0.592,1
1,4,2,26,1,0,-0.3,0,1,1.189,4
1,4,2,27,1,1,-0.3,0,0,1.081,2
1,4,2,28,1,1,0,1,1,0.681,3
1,4,2,29,1,0,-0.3,0,1,0.961,4
1,4,2,30,1,0,0,1,0,0.645,3
1,4,2,31,1,0,0.6,1,0,0.567,1
1,4,2,32,1,0,0.3,1,0,0.499,2
1,4,2,33,1,1,-0.6,0,0,0.691,1
1,4,2,34,1,0,0,1,0,0.627,3
1,4,2,35,1,1,-0.3,0,0,0.589,2
1,4,2,36,1,0,0.3,1,0,0.593,2
1,4,2,37,1,0,0.6,1,0,0.653,1
1,4,2,38,1,0,0,1,0,0.734,3
