Subnum,nowblock,nowblocktype,nowtrial,ind_up_color,test_color,testspeed,leftorright,keypress,RT
1,1,3,1,0,0,3.000000e-01,0,1,12.974
1,1,3,2,0,0,3.000000e-01,1,1,2.458
1,1,3,3,0,1,0,1,0,1.649
1,1,3,4,0,1,6.000000e-01,0,1,0.810
1,1,3,5,0,0,-3.000000e-01,1,0,1.028
1,1,3,6,0,1,-3.000000e-01,0,1,1.198
1,1,3,7,0,1,0,0,0,2.529
1,1,3,8,0,1,-3.000000e-01,0,1,1.614
1,1,3,9,0,0,6.000000e-01,1,1,0.992
1,1,3,10,0,0,0,1,0,1.290
1,1,3,11,0,1,3.000000e-01,0,1,0.715
1,1,3,12,0,0,3.000000e-01,0,1,0.785
1,1,3,13,0,0,0,0,1,1.013
1,1,3,14,0,1,3.000000e-01,1,1,1.240
1,1,3,15,0,0,0,1,1,1.169
1,1,3,16,0,1,6.000000e-01,0,1,1.078
1,1,3,17,0,0,0,1,1,1.284
1,1,3,18,0,0,6.000000e-01,0,1,0.733
1,1,3,19,0,0,-6.000000e-01,0,0,0.674
1,1,3,20,0,0,6.000000e-01,1,1,0.771
1,1,3,21,0,0,-3.000000e-01,1,1,1.375
1,1,3,22,0,1,-6.000000e-01,1,0,0.779
1,1,3,23,0,0,-3.000000e-01,0,0,0.759
1,1,3,24,0,1,6.000000e-01,0,1,0.684
1,1,3,25,0,0,-3.000000e-01,0,0,0.821
1,1,3,26,0,1,0,0,0,0.894
1,1,3,27,0,1,-6.000000e-01,0,0,0.622
1,1,3,28,0,1,-3.000000e-01,1,0,0.641
1,1,3,29,0,0,-6.000000e-01,1,0,0.529
1,1,3,30,0,1,-6.000000e-01,0,0,0.673
1,1,3,31,0,0,-6.000000e-01,1,0,0.569
1,1,3,32,0,1,-6.000000e-01,1,0,0.718
1,1,3,33,0,1,3.000000e-01,1,1,0.555
1,1,3,34,0,0,3.000000e-01,0,1,0.681
1,1,3,35,0,0,-6.000000e-01,0,0,0.529
1,1,3,36,0,1,0,0,1,1.152
1,1,3,37,0,1,-3.000000e-01,0,0,0.595
1,1,3,38,0,0,6.000000e-01,1,1,0.488
1,1,3,39,0,1,3.000000e-01,0,1,0.576
1,1,3,40,0,1,6.000000e-01,1,1,0.620
1,2,2,1,1,0,3.000000e-01,0,1,0.759
1,2,2,2,1,1,0,0,1,0.907
1,2,2,3,1,0,-3.000000e-01,1,0,0.474
1,2,2,4,1,1,0,0,1,0.717
1,2,2,5,1,0,0,0,0,1.082
1,2,2,6,1,0,6.000000e-01,0,1,0.481
1,2,2,7,1,1,0,1,1,0.817
1,2,2,8,1,0,6.000000e-01,0,1,0.524
1,2,2,9,1,0,0,1,0,0.714
1,2,2,10,1,1,-6.000000e-01,0,0,0.473
1,2,2,11,1,0,0,0,1,0.496
1,2,2,12,1,1,-3.000000e-01,1,0,0.544
1,2,2,13,1,1,3.000000e-01,0,1,0.382
1,2,2,14,1,1,6.000000e-01,1,1,0.482
1,2,2,15,1,1,-3.000000e-01,0,0,0.664
1,2,2,16,1,0,-3.000000e-01,0,0,0.594
1,2,2,17,1,0,3.000000e-01,1,1,0.582
1,2,2,18,1,1,-3.000000e-01,1,0,0.411
1,2,2,19,1,1,6.000000e-01,1,1,0.557
1,2,2,20,1,0,-6.000000e-01,0,0,0.377
1,2,2,21,1,0,-6.000000e-01,0,1,0.599
1,2,2,22,1,1,3.000000e-01,1,1,0.435
1,2,2,23,1,0,6.000000e-01,1,1,0.428
1,2,2,24,1,1,-3.000000e-01,0,0,0.463
1,2,2,25,1,1,-6.000000e-01,0,0,0.480
1,2,2,26,1,1,-6.000000e-01,1,0,0.432
1,2,2,27,1,0,3.000000e-01,1,1,0.530
1,2,2,28,1,1,3.000000e-01,1,1,0.624
1,2,2,29,1,0,-3.000000e-01,0,0,0.411
1,2,2,30,1,0,6.000000e-01,0,1,0.502
1,2,2,31,1,1,0,1,0,1.317
