Subnum,nowblock,nowblocktype,nowtrial,ind_up_color,test_color,testspeed,leftorright,keypress,RT
1,1,3,1,0,1,3.00E-01,0,1,14.032
1,1,3,2,0,1,-3.00E-01,1,1,2.196
1,1,3,3,0,1,3.00E-01,0,1,1.031
1,1,3,4,0,1,-3.00E-01,1,1,1.336
1,1,3,5,0,1,-3.00E-01,0,0,0.685
1,1,3,6,0,1,-3.00E-01,1,1,46.637
1,1,3,7,0,0,3.00E-01,1,1,0.643
1,1,3,8,0,1,0,0,1,0.973
1,1,3,9,0,1,0,1,1,1.001
1,1,3,10,0,1,0,0,1,0.884
1,1,3,11,0,0,0,0,1,0.972
1,1,3,12,0,0,3.00E-01,0,1,0.792
1,1,3,13,0,0,3.00E-01,1,1,0.715
1,1,3,14,0,1,3.00E-01,1,1,0.578
1,1,3,15,0,0,-3.00E-01,0,0,0.743
1,1,3,16,0,0,3.00E-01,0,1,0.652
1,1,3,17,0,0,-3.00E-01,0,1,0.558
1,1,3,18,0,0,-3.00E-01,1,0,0.858
1,1,3,19,0,0,0,1,1,0.755
1,1,3,20,0,1,3.00E-01,0,1,0.688
1,1,3,21,0,0,0,1,1,0.736
1,1,3,22,0,0,0,0,1,0.646
1,1,3,23,0,1,3.00E-01,0,1,0.709
1,1,3,24,0,1,3.00E-01,1,1,0.604
1,1,3,25,0,0,-3.00E-01,1,0,0.855
1,1,3,26,0,1,0,1,1,0.68
1,1,3,27,0,1,-3.00E-01,0,0,0.552
1,1,3,28,0,0,-3.00E-01,0,0,0.796
1,1,3,29,0,0,0,0,0,0.768
1,1,3,30,0,0,-3.00E-01,0,0,0.653
1,1,3,31,0,1,-3.00E-01,0,0,0.678
1,1,3,32,0,0,3.00E-01,1,0,0.885
1,1,3,33,0,0,0,1,1,0.853
1,1,3,34,0,1,0,0,1,0.727
1,1,3,35,0,1,0,1,1,0.653
1,1,3,36,0,0,3.00E-01,1,1,0.743
1,2,2,1,1,1,-3.00E-01,1,0,1.645
1,2,2,2,1,1,-3.00E-01,0,0,0.806
1,2,2,3,1,1,3.00E-01,1,1,1.096
1,2,2,4,1,1,-3.00E-01,0,0,0.648
1,2,2,5,1,1,0,0,0,0.649
1,2,2,6,1,0,3.00E-01,1,0,0.706
1,2,2,7,1,0,0,0,0,0.802
1,2,2,8,1,0,3.00E-01,1,0,0.7
1,2,2,9,1,0,0,0,0,0.604
1,2,2,10,1,0,-3.00E-01,1,0,0.623
1,2,2,11,1,1,0,1,0,1.025
1,2,2,12,1,0,3.00E-01,0,0,1.019
1,2,2,13,1,0,3.00E-01,0,0,0.773
1,2,2,14,1,0,0,0,0,0.609
1,2,2,15,1,0,0,1,0,0.62
1,2,2,16,1,0,-3.00E-01,0,0,0.583
1,2,2,17,1,1,3.00E-01,0,0,0.562
1,2,2,18,1,1,0,0,0,0.568
1,2,2,19,1,0,-3.00E-01,1,0,0.653
1,2,2,20,1,0,3.00E-01,0,0,1.357
1,2,2,21,1,1,3.00E-01,1,0,0.755
1,2,2,22,1,1,0,0,0,0.799
1,2,2,23,1,0,-3.00E-01,0,0,1.362
1,2,2,24,1,0,3.00E-01,1,0,0.863
1,2,2,25,1,0,-3.00E-01,0,0,0.664
1,2,2,26,1,0,0,1,0,0.704
1,2,2,27,1,1,-3.00E-01,0,0,0.871
1,2,2,28,1,1,3.00E-01,0,0,0.64
