Subnum,nowblock,nowblocktype,nowtrial,ind_up_color,test_color,testspeed,keypress,opposite_to_ind_response,RT
1,1,1,1,0,0,-1.00E-01,1,1,1.263
1,1,1,2,0,0,-1.00E-01,0,0,0.78
1,1,1,3,0,0,-5.00E-02,1,1,0.983
1,1,1,4,0,1,1.00E-01,1,0,0.828
1,1,1,5,0,0,1.00E-01,1,1,0.805
1,1,1,6,0,1,-5.00E-02,1,0,0.929
1,1,1,7,0,1,0,1,0,0.784
1,1,1,8,0,0,1.00E-01,1,1,0.819
1,1,1,9,0,1,5.00E-02,1,0,0.773
1,1,1,10,0,1,5.00E-02,1,0,0.914
1,1,1,11,0,0,5.00E-02,1,1,1.224
1,1,1,12,0,1,1.00E-01,0,1,1.529
1,1,1,13,0,0,0,1,1,0.815
1,1,1,14,0,1,-5.00E-02,0,1,1.69
1,1,1,15,0,0,0,1,1,1.241
1,1,1,16,0,0,-5.00E-02,1,1,0.73
1,1,1,17,0,1,-1.00E-01,1,0,1.312
1,1,1,18,0,1,5.00E-02,1,0,1.236
1,1,1,19,0,1,0,0,1,1.047
1,1,1,20,0,0,1.00E-01,1,1,1.536
1,1,1,21,0,0,0,1,1,0.749
1,1,1,22,0,0,-5.00E-02,1,1,0.722
1,1,1,23,0,1,-1.00E-01,1,0,1.473
1,1,1,24,0,1,0,1,0,0.543
1,1,1,25,0,0,1.00E-01,1,1,0.575
1,1,1,26,0,0,5.00E-02,0,0,0.243
1,1,1,27,0,1,1.00E-01,1,0,1.013
1,1,1,28,0,1,-5.00E-02,1,0,0.608
1,1,1,29,0,1,1.00E-01,1,0,0.875
1,1,1,30,0,1,-1.00E-01,1,0,0.971
1,1,1,31,0,0,5.00E-02,1,1,1.127
1,1,1,32,0,0,5.00E-02,0,0,0.694
1,1,1,33,0,0,-1.00E-01,1,1,0.612
1,1,1,34,0,1,5.00E-02,0,1,1.057
1,1,1,35,0,0,0,1,1,0.529
1,1,1,36,0,1,-1.00E-01,0,1,0.999
1,1,1,37,0,0,-5.00E-02,1,1,0.538
1,1,1,38,0,1,-5.00E-02,1,0,0.696
1,1,1,39,0,1,0,1,0,0.624
