Subnum,nowblock,nowblocktype,nowtrial,ind_up_color,test_color,testspeed,keypress,opposite_to_ind_response,RT,sospeed
1,1,1,1,0,0,-2.00E-01,0,0,9.948,2
1,1,1,2,0,1,-4.00E-01,1,0,1.871,5
1,1,1,3,0,1,4.00E-01,1,0,1.038,1
1,1,1,4,0,0,2.00E-01,1,1,1.017,4
1,1,1,5,0,1,-2.00E-01,1,0,1.251,4
1,1,1,6,0,1,0,1,0,1.276,3
1,1,1,7,0,0,-2.00E-01,1,1,2.491,2
1,1,1,8,0,0,0,1,1,1.841,3
1,1,1,9,0,0,2.00E-01,1,1,2.115,4
1,1,1,10,0,1,2.00E-01,0,1,1.56,2
1,1,1,11,0,1,-4.00E-01,1,0,1.149,5
1,1,1,12,0,0,-4.00E-01,1,1,0.962,1
1,1,1,13,0,1,-2.00E-01,1,0,1.614,4
1,1,1,14,0,1,0,0,1,1.24,3
1,1,1,15,0,1,2.00E-01,1,0,0.826,2
1,1,1,16,0,0,-2.00E-01,1,1,0.666,2
1,1,1,17,0,0,2.00E-01,1,1,1.14,4
1,1,1,18,0,0,4.00E-01,1,1,0.624,5
1,1,1,19,0,1,0,1,0,1.509,3
1,1,1,20,0,0,4.00E-01,1,1,0.627,5
1,1,1,21,0,1,-4.00E-01,1,0,0.956,5
1,1,1,22,0,0,-4.00E-01,1,1,0.778,1
1,1,1,23,0,1,0,1,0,0.726,3
1,1,1,24,0,1,4.00E-01,1,0,0.773,1
1,1,1,25,0,0,-2.00E-01,1,1,1.096,2
1,1,1,26,0,0,-4.00E-01,0,0,0.928,1
1,1,1,27,0,0,-4.00E-01,1,1,1.03,1
1,1,1,28,0,1,-2.00E-01,0,1,1.511,4
1,1,1,29,0,0,0,0,0,1.413,3
1,1,1,30,0,0,0,1,1,1.416,3
1,1,1,31,0,1,2.00E-01,1,0,1.314,2
1,1,1,32,0,0,4.00E-01,1,1,0.761,5
1,1,1,33,0,0,2.00E-01,1,1,0.702,4
1,1,1,34,0,0,4.00E-01,1,1,0.556,5
1,1,1,35,0,1,4.00E-01,1,0,1.538,1
1,1,1,36,0,1,-2.00E-01,0,1,0.686,4
1,1,1,37,0,1,4.00E-01,1,0,0.734,1
1,1,1,38,0,1,2.00E-01,1,0,0.659,2
1,1,1,39,0,1,-4.00E-01,1,0,1.285,5
1,1,1,40,0,0,0,0,0,0.973,3
1,2,2,1,1,0,-2.00E-01,1,0,0.918,4
1,2,2,2,1,1,4.00E-01,0,0,1.356,5
1,2,2,3,1,1,4.00E-01,1,1,0.68,5
1,2,2,4,1,0,4.00E-01,1,0,1.056,1
1,2,2,5,1,1,-4.00E-01,0,0,0.689,1
1,2,2,6,1,0,2.00E-01,1,0,0.632,2
1,2,2,7,1,0,-4.00E-01,0,1,0.578,5
1,2,2,8,1,1,2.00E-01,1,1,0.503,4
1,2,2,9,1,1,-4.00E-01,0,0,0.557,1
1,2,2,10,1,0,2.00E-01,0,1,0.891,2
1,2,2,11,1,0,-2.00E-01,0,1,0.659,4
1,2,2,12,1,0,-4.00E-01,1,0,1.612,5
1,2,2,13,1,1,0,0,0,0.758,3
1,2,2,14,1,1,2.00E-01,1,1,0.547,4
1,2,2,15,1,1,2.00E-01,1,1,0.544,4
1,2,2,16,1,0,0,1,0,0.55,3
1,2,2,17,1,1,-2.00E-01,0,0,0.54,2
1,2,2,18,1,0,4.00E-01,1,0,0.457,1
1,2,2,19,1,1,2.00E-01,1,1,0.498,4
1,2,2,20,1,1,-4.00E-01,0,0,0.514,1
1,2,2,21,1,0,0,0,1,0.824,3
1,2,2,22,1,0,-2.00E-01,0,1,0.554,4
1,2,2,23,1,0,0,1,0,0.696,3
1,2,2,24,1,1,-2.00E-01,0,0,0.528,2
1,2,2,25,1,1,0,0,0,0.678,3
1,2,2,26,1,1,4.00E-01,1,1,0.702,5
1,2,2,27,1,1,-4.00E-01,0,0,0.541,1
1,2,2,28,1,0,-2.00E-01,0,1,0.899,4
1,2,2,29,1,0,2.00E-01,1,0,0.514,2
1,2,2,30,1,0,4.00E-01,1,0,0.633,1
1,2,2,31,1,0,4.00E-01,1,0,0.499,1
