PA SCORE,sikityou
1,0
-2,0
2.666666667,0
-3.666666667,0
-1,1
1.666666667,0
-1.333333333,1
-5.666666667,0
3.166666667,1
-2.333333333,0
-3.333333333,0
1.166666667,1
-3.666666667,0
2,1
-3.5,0
-1.5,1
3,1
-5.333333333,0
-4.166666667,0
-4.666666667,0
3.666666667,1
5,0
0,0
-4,0
-0.333333333,1
3.166666667,0
0.5,0
-2.666666667,1
0.333333333,1
-3,0
1.166666667,0
-3.333333333,0
-3.333333333,1
-2.666666667,0
-0.666666667,1
-3.666666667,0
-1,0
-2.666666667,0
-3,0
-3.833333333,1
-4,0
-1,0
4.666666667,1
-3.166666667,1
3,0
3.666666667,1
1.166666667,0
-2,0
-5,0
-2,0
-2.333333333,0
2,0
-3,1
0.333333333,0
1,1
-2,0
-1.5,0
-0.833333333,1
-0.166666667,0
3.666666667,1
-2.666666667,0
0.833333333,1
0,0
-1.666666667,0
-1.333333333,0
-2.166666667,0
-2.5,0
-2,1
-2,0
-5,0
-1.166666667,0
-3,0
-3.333333333,0
-5.666666667,0
5.5,0
-1.666666667,1
-5.333333333,0
-3.833333333,1
3,1
-3.333333333,0
-1.833333333,0
-2,0
-5,1
-2.666666667,0
1.333333333,0
-3.666666667,0
3.5,1
1.5,0
-1.833333333,0
2.333333333,0
1.333333333,0
-4,0
0.666666667,1
-3.333333333,0
-3.333333333,0
-1.666666667,0
2.333333333,0
3,0
-4,1
1.333333333,0
0.5,0
-1,0
-2.666666667,1
3.666666667,0
-1.333333333,0
-1,1
2.333333333,0
-2.333333333,0
-2,1
-4,0
2.5,1
-2.333333333,1
0.166666667,0
2.166666667,0
-0.166666667,0
-2.5,0
-2,0
1,1
-4.666666667,0
-2.666666667,1
-2.333333333,0
3,0
-3.166666667,0
-5,1
-2.833333333,0
-4.666666667,0
-2.666666667,0
-3,0
0.333333333,1
-3,1
-6,0
-3.5,0
-2.333333333,0
-2,0
-2.5,0
1.5,0
1,0
-2.666666667,1
-1.666666667,0
1.5,0
1,0
3.333333333,1
-2.5,1
-1.5,0
-1.5,1
0.166666667,0
-2.666666667,1
1.333333333,0
-1.333333333,0
1.833333333,1
-1,1
-3.166666667,1
2.5,1
-4,0
-1.333333333,1
-2,0
